timestamp,ticker,open,high,low,close,volume
2026-01-05T14:30:00+00:00,AAPL,185.0,185.07,184.53,184.78,2339857
2026-01-05T14:35:00+00:00,AAPL,184.78,185.2,184.53,185.07,895646
2026-01-05T14:40:00+00:00,AAPL,185.07,185.96,184.74,185.6,1229721
2026-01-05T14:45:00+00:00,AAPL,185.6,186.56,185.26,186.23,2130752
2026-01-05T14:50:00+00:00,AAPL,186.23,186.79,185.88,186.52,1864719
2026-01-05T14:55:00+00:00,AAPL,186.52,187.0,186.24,186.82,2155487
2026-01-05T15:00:00+00:00,AAPL,186.82,187.03,186.15,186.4,1831543
2026-01-05T15:05:00+00:00,AAPL,186.4,187.4,186.11,187.04,1608346
2026-01-05T15:10:00+00:00,AAPL,187.04,187.6,186.86,187.54,1412746
2026-01-05T15:15:00+00:00,AAPL,187.54,187.88,186.69,187.03,2144448
2026-01-05T15:20:00+00:00,AAPL,187.03,187.76,186.76,187.64,1997880
2026-01-05T15:25:00+00:00,AAPL,187.64,187.92,187.24,187.53,1035727
2026-01-05T15:30:00+00:00,AAPL,187.53,187.83,186.91,187.21,1696610
2026-01-05T15:35:00+00:00,AAPL,187.21,188.17,187.12,187.83,1589135
2026-01-05T15:40:00+00:00,AAPL,187.83,188.28,187.47,188.0,1386324
2026-01-05T15:45:00+00:00,AAPL,188.0,188.79,187.63,188.5,1631915
2026-01-05T15:50:00+00:00,AAPL,188.5,189.14,188.26,188.93,1740457
2026-01-05T15:55:00+00:00,AAPL,188.93,189.11,188.47,188.57,1693645
2026-01-05T16:00:00+00:00,AAPL,188.57,188.76,188.51,188.64,2159481
2026-01-05T16:05:00+00:00,AAPL,188.64,189.36,188.37,189.27,1268668
2026-01-05T16:10:00+00:00,AAPL,189.27,189.43,188.54,188.76,1798312
2026-01-05T16:15:00+00:00,AAPL,188.76,189.04,188.38,188.53,1031121
2026-01-05T16:20:00+00:00,AAPL,188.53,189.28,188.14,189.11,1738703
2026-01-05T16:25:00+00:00,AAPL,189.11,189.72,188.89,189.46,2367039
2026-01-05T16:30:00+00:00,AAPL,189.46,189.75,189.02,189.39,1102240
2026-01-05T16:35:00+00:00,AAPL,189.39,190.15,189.32,189.97,1003433
2026-01-05T16:40:00+00:00,AAPL,189.97,190.82,189.77,190.48,1123811
2026-01-05T16:45:00+00:00,AAPL,190.48,190.68,190.38,190.51,1913412
2026-01-05T16:50:00+00:00,AAPL,190.51,191.58,190.13,191.19,1375982
2026-01-05T16:55:00+00:00,AAPL,191.19,191.88,190.82,191.55,1240085
2026-01-05T17:00:00+00:00,AAPL,191.55,192.42,191.48,192.22,2334623
2026-01-05T17:05:00+00:00,AAPL,192.22,192.45,191.53,191.92,2292874
2026-01-05T17:10:00+00:00,AAPL,191.92,192.27,191.6,191.72,1653792
2026-01-05T17:15:00+00:00,AAPL,191.72,192.18,191.33,191.97,1009020
2026-01-05T17:20:00+00:00,AAPL,191.97,192.52,191.83,192.44,1045221
2026-01-05T17:25:00+00:00,AAPL,192.44,193.27,192.35,193.12,1587033
